"PROPRIEDADE PALAVRAS"
"1. [Verbo] {exagerar, exceder, quinta-essenciar, rebuscar, refinar, requintar}"
"2. [Verbo] {ababalhar, babar, escumar, espumar}"
"3. [Verbo] {ababalhar, sujar}"
"4. [Verbo] {aclarar, alumiarv clarear, iluminar}"
"5. [Verbo] {enegrecer, escurecer} <4>"
"6. [Verbo] {limpar, purgar, purificar}"
"7. [Verbo] {impurificar, sujar} <6>"
"8. [Verbo] {apurar, clarificar, limpar, purgar, purificar}"
"9. [Verbo] {purgar} <7>"
"10. [Verbo] {coar, destilar, insinuar-se}"
"11. [Verbo] {animar} <1746>"
""
"13. [Verbo] {acamaradar, amigar, amistar}"
"14. [Verbo] {embarricar, embarrilar}"
"15. [Verbo] {bastar, satisfazer}"
"16. [Verbo] {depravar-se}"
"17. [Verbo] {armar-se, munir-se}"
"18. [Verbo] {abceder, absceder, aporismar, supurar}"
"19. [Verbo] {abecar, abotoar, abufelar}"
""
"21. [Verbo] {conformar-se, sujeitar-se}"
"22. [Verbo] {abater-se, acamar-se}"
"23. [Verbo] {abater, acamar}"
"24. [Verbo] {abalar, destruir, gastar}"
"25. [Verbo] {esconder, fingir}"
""
"27. [Verbo] {calar, esconder, guardar} <3716>"
"28. [Verbo] {absolver, desculpar, inocentar, isentar, perdoar}"
"29. [Verbo] {culpar-se} <2624>"
"30. [Verbo] {concordar, harmonizar} <1854>"
"31. [Verbo] {apaixonar, arrebatar, enlevar, entusiasmar}"
"32. [Verbo] {privar}"
"33. [Verbo] {manter-se, sustentar-se, suster-se}"
"34. [Verbo] {opor-se}"
"35. [Verbo] {apagar}"
"36. [Verbo] {abusar, exorbitar}"
"37. [Verbo] {abusar, enganar, prevaricar}"
"38. [Verbo] {abusar, anarquizar, desmoralizar}"
"39. [Verbo] {alentar-se, animar-se} <2644>"
"40. [Verbo] {abaixar, acocorar, agachar} <221>"
"41. [Verbo] {ceder}"
""
"43. [Verbo] {abeirar-se, aproximar-se, beirar} <1104>"
"44. [Verbo] {acalentar, aconchegar, aninhar, conchegar}"
"45. [Verbo] {acalentar-se}"
"46. [Verbo] {enobrecer, enricar, enriquecer}"
"47. [Verbo] {abandalhar, enxovalhar, sujar}"
"48. [Verbo] {avelhentar}"
"49. [Verbo] {considerar, estimar, prezar} <3436>"
""
""
""
""
"54. [Verbo] {avergonhar, avexar, envergonhar, vexar}"
"55. [Verbo] {escravizar, esmagar, oprimir, tiranizar}"
"56. [Verbo] {proibir, proscrever}"
"57. [Verbo] {paralisar, tolher}"
"58. [Verbo] {autorizar, permitir} <1086>"
"59. [Verbo] {apor, juntar, justapor} <1446>"
"60. [Verbo] {unir-se} <2829>"
"61. [Verbo] {defrontar-se, deparar-se, encontrar-se, topar-se}"
"62. [Verbo] {confrontar-se, defrontar-se, enfrentar-se}"
"63. [Verbo] {maltratar} <3679>"
"64. [Verbo] {acelerar, adiantar, apressar, estugar, picar, precipitar} <3727>"
"65. [Verbo] {abrigar-se, acoitar-se, acolher-se, asilar-se}"
""
"67. [Verbo] {apanhar, guardar, recolher}"
"68. [Verbo] {encolher-se, encurtar-se} <2033>"
